American; |əˈmerɪkən|;американский, американец, американка
recording; |rɪˈkɔːrdɪŋ|;запись, регистрация, звукозапись, записывающий, регистрирующий, пишущий
recover; |rɪˈkʌvər|;восстанавливать, оправляться, выздоравливать, извлекать, регенерировать
recovery; |rɪˈkʌvəri|;восстановление, извлечение, возмещение, выздоровление, утилизация, оздоровление
red; |red|;красный, рыжий, алый, багровый, багряный, красный цвет, золото, красный шар
reduce; |rɪˈduːs|;уменьшить, уменьшать, снижать, сокращать, сводить, понижать, редуцировать
reduction; |rɪˈdʌkʃn|;сокращение, уменьшение, восстановление, редукция, понижение, скидка, подавление
refer; |rɪˈfɜːr|;относиться, относить, ссылаться, обращаться, сослаться, направлять, говорить
reference; |ˈrefrəns|;ссылка, справка, упоминание, эталон, снабжать текст ссылками, справляться
reflect; |rɪˈflekt|;отражать, отражаться, размышлять, отображать, раздумывать, изображать
reflection; |rɪˈflekʃn|;отражение, размышление, рефлексия, отблеск, отсвет, раздумье, обдумывание, образ, тень
reform; |rɪˈfɔːrm|;реформа, преобразование, исправление, реформировать, исправлять, исправляться
refrigerator; |rɪˈfrɪdʒəreɪtər|;холодильник, рефрижератор, конденсатор
refusal;|rɪˈfjuːzl|;отказ, право первого выбора
refuse;  |rɪˈfjuːz|; отказывать, отходы, мусор, отбросы, отказываться, негодный, опровержимый
regard;  |rɪˈɡɑːrd|; считать, рассматривать, внимание, взгляд, уважение
regarding; |rɪˈɡɑːrdɪŋ|;относительно, о, касательно
regime;  |reɪˈʒiːm|; режим, строй, диета
region; |ˈriːdʒən|;регион, область, район, край, участок, зона, округ, округа, место, страна, сфера, полость
regional; |ˈriːdʒənl|;региональный, областной, районный, краевой, местный
register; |ˈredʒɪstər|;регистр, реестр, запись, список, журнал, регистрировать, регистрироваться
registration; |ˌredʒɪˈstreɪʃn|;регистрация, учет, запись, прописка, пристрелка
regret; |rɪˈɡret|;сожаление, извинения, раскаяние, горе, сожалеть, раскаиваться, горевать
regular; |ˈreɡjələr|;регулярный, обычный, очередной, регулярные войска, монах
regularly;;регулярно
regulation; |ˌreɡjuˈleɪʃn|;регулирование, правило, регуляция, установленный, установленного образца
reinforce; |ˌriːɪnˈfɔːrs|;укреплять, усиливать, подкреплять, армировать
reject; |rɪˈdʒekt|;отвергать, отклонять, брак, бракованное изделие, признанный негодным
relate; |rɪˈleɪt|;относиться, связывать, рассказывать, член отношения
related; |rɪˈleɪtɪd|;связанный, родственный
relation; |rɪˈleɪʃn|;отношение, связь, соотношение, зависимость, родственник, родство, родственница
relationship; |rɪˈleɪʃnʃɪp|;отношение, связь, взаимоотношение, родство, сношение
relative; |ˈrelətɪv|;относительный, сравнительный, взаимный, родственник, родственница
relatively; |ˈrelətɪvli|;относительно, сравнительно, соответственно, по поводу
relax; |rɪˈlæks|;расслабляться, отдыхать, расслаблять, ослаблять, ослабляться, смягчать, смягчаться
relaxed; |rɪˈlækst|;расслабленный
relaxing; |rəˈlæksɪŋ|;расслабляющий, смягчающий
release; |rɪˈliːs|;освобождение, высвобождение, версия, выпускать, освобождать, отпускать
relevant; |ˈreləvənt|;уместный, релевантный
reliable; |rɪˈlaɪəbl|;надежный, достоверный, прочный, заслуживающий доверия, благонадежный
relief; |rɪˈliːf|;облегчение, помощь, рельеф, освобождение, рельефный, вспомогательный, запасной
relieve; |rɪˈliːv|;облегчать, освобождать, уменьшать, разрядить, ослаблять, деблокировать, сменять
religion; |rɪˈlɪdʒən|;религия, культ, религиозное учение, монашество, святыня
religious;  |rɪˈlɪdʒəs|; религиозный, верующий, культовый, монах
rely; |rɪˈlaɪ|;полагаться, надеяться, зависеть
remain; |rɪˈmeɪn|;оставаться, продержаться, остаток, остальное
remaining; |rɪˈmeɪnɪŋ|;остальной
remains; |rɪˈmeɪnz|;остатки, останки, остаток, развалины, руины, прах, реликвии, посмертные произведения
remark; |rɪˈmɑːrk|;замечание, примечание, наблюдение, отмечать, замечать, высказаться
remarkable; |rɪˈmɑːrkəbl|;замечательный, выдающийся, удивительный
remember; |rɪˈmembər|;запомнить, помнить, помниться, вспоминать, воспоминание
remind; |rɪˈmaɪnd|;напоминать
remote; |rɪˈmoʊt|;удалённый, дистанционный, отдаленный, запасная лошадь
removal; |rɪˈmuːvl|;удаление, устранение, отстранение, перемещение, смещение, снос, переезд, выемка
remove; |rɪˈmuːv|;удаление, шаг, ступень, перевод, колено, удалять, снимать, убирать, устранять
rent; |rent|;арендный, квартирный, прокат, арендная плата, сдавать в аренду
repair; |rɪˈper|;ремонт, восстановление, исправление, ремонтировать, восстанавливать, чинить
repeat; |rɪˈpiːt|;повторять, повторяться, повторный, повторение, реприза
repeated; |rɪˈpiːtɪd|;повторный, частый
replace; |rɪˈpleɪs|;заменять, замещать, вернуть, возмещать, восстанавливать, класть обратно на место
replacement; |rɪˈpleɪsmənt|;замена, замещение, заменитель, подмена, пополнение, пополнение в личном составе
reply; |rɪˈplaɪ|;ответ, отчет, отвечать
report; |rɪˈpɔːrt|;отчет, доклад, сообщение, сообщить, сообщать, отчетный
reporter; |rɪˈpɔːrtər|;репортёр, корреспондент, докладчик
represent; |ˌreprɪˈzent|;представлять, изображать, отражать, представление
representation; |ˌreprɪzenˈteɪʃn|;представление, представительство, изображение, образ, заявление, утверждение
representative; |ˌreprɪˈzentətɪv|;представитель, уполномоченный, делегат, представительный, представляющий
reproduce; |ˌriːprəˈduːs|;воспроизводить, размножаться, производить, восстанавливать, порождать
republic; |rɪˈpʌblɪk|;республика, республиканский
reputation; |ˌrepjuˈteɪʃn|;репутация, реноме, слава, доброе имя
request; |rɪˈkwest|;просьба, запрос, требование, заявка, спрос, запрашивать, затребовать, предлагать
require; |rɪˈkwaɪər|;требовать, нуждаться, затребовать, приказывать
requirement; |rɪˈkwaɪərmənt|;требование, потребность, необходимое условие, нужда
rescue; |ˈreskjuː|;спасение, освобождение, спасание, спасать, выручать, избавлять, освобождать
research; |rɪˈsɜːrtʃ|;исследование, исследовательский, исследовать
reservation; |ˌrezərˈveɪʃn|;бронирование, резервация, запасный
reserve; |rɪˈzɜːrv|;резерв, заповедник, запас, резервный, запасной, резервировать
resident; |ˈrezɪdənt|;резидент, постоянный житель, постоялец, проживающий, постоянно живущий
residential; |ˌrezɪˈdenʃl|;жилой, связанный с местом жительства, состоящий из жилых домов
resign; |rɪˈzaɪn|;отставка, уходить в отставку, отказываться
resignation; |ˌrezɪɡˈneɪʃn|;отставка, заявление об отставке, смирение, покорность, отказ от должности
resist;  |rɪˈzɪst|; сопротивляться, сопротивление, противостоять
resistance;  |rɪˈzɪstəns|; сопротивление, сопротивляемость, противодействие, резистор
resolution; |ˌrezəˈluːʃn|;разрешение, резолюция, решение, решимость, решительность, рассасывание, развязка
resolve; |rɪˈzɑːlv|;решимость, решение, решительность, решать, разрешать, решаться
resort; |rɪˈzɔːrt|;курорт, прибежище, курортный, прибегать к, посещать
resource; |ˈriːsɔːrs|;ресурс, средство, запас, возможность, находчивость, способ, изобретательность
respect; |rɪˈspekt|;уважать, соблюдать, почитать, чтить, уважение, отношение, почтение, внимание
respectively; |rɪˈspektɪvli|;соответственно, в указанном порядке
respond; |rɪˈspɑːnd|;отвечать, реагировать, удовлетворять, отклик
response; |rɪˈspɑːns|;ответ, реакция, отклик, ответное чувство
responsibility; |rɪˌspɑːnsəˈbɪləti|;ответственность, обязанность, обязанности, обязательство, вменяемость
responsible; |rɪˈspɑːnsəbl|;ответственный, несущий ответственность, надежный, сознательный, важный
rest;  |rest|; отдых, остальное, остальные, остаток, покой, отдыхать, покоиться, опираться, спать
restaurant;  |ˈrestrɑːnt|; ресторан
restore; |rɪˈstɔːr|;восстанавливать, восстанавливаться, реставрировать, возобновить, возвращать
restrict; |rɪˈstrɪkt|;ограничивать, рестрикт
restricted; |rɪˈstrɪktɪd|;ограниченный, узкий, для служебного пользования
restriction; |rɪˈstrɪkʃn|;ограничение
result; |rɪˈzʌlt|;результат, следствие, исход, эффект, итог, следовать, иметь результатом
retain; |rɪˈteɪn|;сохранять, удерживать, хранить, поддерживать, помнить, приглашать
retire; |rɪˈtaɪər|;уходить, удаляться, уходить в отставку, увольняться, увольнять, отступать
retired; |rɪˈtaɪərd|;отставной, в отставке, уединенный, ушедший на пенсию, удалившийся от дел
retirement; |rɪˈtaɪərmənt|;отставка, уход на пенсию, выход в отставку, уединение, отступление, отход
return; |rɪˈtɜːrn|;возвращение, возврат, ответ, возвращать, возвращаться, обратный, вернувшийся
reveal; |rɪˈviːl|;показывать, раскрывать, открывать, откровение, разоблачение, четверть
revenue; |ˈrevənuː|;доход, годовой доход
reverse; |rɪˈvɜːrs|;обратный, реверсировать, задний ход
review; |rɪˈvjuː|;обзор, рассмотрение, пересмотр, просмотр, пересмотреть, рассматривать
revise; |rɪˈvaɪz|;пересматривать, изменять, исправлять, проверка, сверка, вторая корректура
revision; |rɪˈvɪʒn|;пересмотр, ревизия, доработка, проверка, осмотр
revolution; |ˌrevəˈluːʃn|;революция, вращение, оборот, переворот, полный оборот, цикл, кругооборот
reward; |rɪˈwɔːrd|;награда, вознаграждение, воздаяние, вознаграждать, награждать
rhythm; |ˈrɪðəm|;ритм, ритмичность, размер, цикличность, периодичность
rice;;рост
rich; |rɪtʃ|;богатый, обильный, густой, роскошный, богатые, богатство, богачи, богач
rid; |rɪd|;избавлять, освобождать
ride; |raɪd|;ездить, ехать, кататься, катать, поездка, езда, прогулка, дорога, всадник
rider; |ˈraɪdər|;всадник, райдер, наездник, ездок, всадница, седок, дополнение, верховой, ридерс
ridiculous; |rɪˈdɪkjələs|;смешной, нелепый, смехотворный
riding; |ˈraɪdɪŋ|;верховая езда, верховой, для верховой езды
right; |raɪt|;правый, прямой, право, правильность, прямо, правильно, исправлять
rightly; |ˈraɪtli|;справедливо, правильно, должным образом
ring; |rɪŋ|;кольцо, ринг, звон, круг, ободок, рым, конфорка, звонить, звенеть, звучать, раздаваться
rip; |ˌɑːr aɪ ˈpiː|;разрыв, разрез, прореха, кляча, распутник, рвать, рваться, распарывать, пороться
rise; |raɪz|;рост, подъем, повышение, увеличение, восход, подниматься, повышаться, возрасти
risk; |rɪsk|;риск, рисковать, отваживаться
rival; |ˈraɪvl|;соперник, конкурент, конкурировать, конкурирующий
river; |ˈrɪvər|;река, поток, речной
road; |roʊd|;дорога, путь, шоссе, улица, рейд, дорожный
rob; |rɑːb|;грабить, обкрадывать, разбойничать, грабитель
rock; |rɑːk|;рок, скала, камень, утес, качаться, качать, укачивать, каменный, горный
role; |roʊl|;роль
roll; |roʊl|;рулон, крен, свиток, ролик, рулет, качение, катить, катиться, раскатать, перевернуть
romantic; |roʊˈmæntɪk|;романтический, романтичный, романтик
roof; |ruːf|;крыша, кровля, потолок, кров, покрывать, настилать крышу, крыть крышу
room; |ruːm|;номер, комната, помещение, место, размещать, занимать комнату
root; |ruːt|;коренной, основной, корень, корнеплод, корениться, укореняться
rope; |roʊp|;веревка, канат, трос, лассо, канатный, веревочный, связывать веревкой
rose; |roʊz|;розовый, роза, розетка, розовый цвет
rough; |rʌf|;грубый, шероховатый, грубо, неровность, грубиян, терпеть лишения
roughly; |ˈrʌfli|;грубо, приблизительно, бурно, резко, неровно, небрежно, начерно, невежливо
round;;кругом
route; |ruːt|;маршрут, путь, направление, направлять, распределять, наголову
routine; |ruːˈtiːn|;рутинный, обычный, текущий, шаблонный, рутина, распорядок, шаблон
row; |roʊ|;ряд, ссора, спор, шум, ряд домов, улица, гвалт, грести, скандалить, шуметь, отчитывать
royal; |ˈrɔɪəl|;королевский, царский, царственный, член королевской семьи
rub; |rʌb|;тереть, тереться, втирать, натирать, трение, растирание, натирание, стирание
rubber; |ˈrʌbər|;резиновый, прорезиненный, резина, каучук, резинка, любопытствовать
rubbish; |ˈrʌbɪʃ|;мусор, хлам, чушь, вздор, ерунда, белиберда, превращать в обломки, ломать
rude; |ruːd|;грубый, неприличный, невежливый, резкий, сырой, невоспитанный, внезапный
ruin; |ˈruːɪn|;руина, руины, разорение, гибель, крушение, разрушать, портить, губить, разорять
ruined; |ˈruːənd|;разрушенный, разоренный, уничтоженный
rule; |ruːl|;правило, правление, власть, норма, править, управлять, господствовать
ruler; |ˈruːlər|;правитель, линейка, властитель, ежовый
run; |rʌn|;работать, бежать, управлять, бегать, прогон, работа, бег, пробег, ход, показ, трасса
runner; |ˈrʌnər|;бегун, дорожка, бегунок, полоз, ротор, рабочее колесо, гонец, посыльный, курьер
running; |ˈrʌnɪŋ|;бег, ход, работа, бега, работающий, бегущий, идущий, подряд
rural; |ˈrʊrəl|;сельский, деревенский, сельскохозяйственный
rush; |rʌʃ|;торопить, торопиться, спешка, натиск, ажиотаж, срочный, спешный
sack; |sæk|;мешок, куль, разграбление, сак, постель, увольнять, грабить
sad; |sæd|;печальный, грустный, унылый, тяжёлый, минор
sadly; |ˈsædli|;грустно, уныло
sadness; |ˈsædnəs|;печаль, уныние
safe; |seɪf|;безопасный, в безопасности, надежный, сейф, несгораемый шкаф, холодильник
safely; |ˈseɪfli|;безопасно, благополучно, в безопасности, в сохранности
safety; |ˈseɪfti|;безопасность, сохранность, надежность, предохранительный
sail; |seɪl|;парус, паруса, плавание, плыть, плавать, отплывать, парусный
sailing; |ˈseɪlɪŋ|;парусный, парусный спорт, плавание, отплытие
sailor; |ˈseɪlər|;моряк, матрос, матросский
sake; |seɪk|;сакэ, рисовая водка
salad; |ˈsæləd|;салат, зелень
salary; |ˈsæləri|;зарплата, заработная плата, оклад, жалованье
sale; |seɪl|;продажа, распродажа, сбыт, продажа с торгов, продажа с аукциона
salt; |sɔːlt|;соль, поваренная соль, солить, засаливать, соленый, морской
salty; |ˈsɔːlti|;соленый, пикантный, непристойный
same; |seɪm|;то же, тот же, та же, так же, то же самое, одинаковый
sample; |ˈsæmpl|;образец, выборка, проба, пример, образчик, пробовать, брать пробу
sand; |sænd|;песок, гравий, песчаный, песочный, посыпать песком
sandwich; |ˈsænwɪtʃ|;бутерброд, сандвич, многослойный, помещать посередине
satellite; |ˈsætəlaɪt|;спутник, сателлит, искусственный спутник, приспешник, приверженец
satisfaction; |ˌsætɪsˈfækʃn|;удовлетворение, компенсация, сатисфакция, искупление, расплата
satisfactory; |ˌsætɪsˈfæktəri|;удовлетворительный, достаточный, приемлемый, хороший, приятный
satisfied; |ˈsætɪsfaɪd|;довольный, удовлетворенный
satisfy; |ˈsætɪsfaɪ|;удовлетворять, соответствовать, выполнять, отвечать требованиям, утолять
satisfying; |ˈsætɪsfaɪɪŋ|;сытный, удовлетворительный
sauce; |sɔːs|;соус, подливка, приправа, фруктовое пюре, приправлять соусом, дерзить
sausage; |ˈsɔːsɪdʒ|;колбаса, сосиска, сарделька, колбасный
save; |seɪv|;экономить, за исключением, кроме, если
saving; |ˈseɪvɪŋ|;экономия, спасение, экономящий, спасительный, кроме, исключая
say; |seɪ|;говорить, сказать, утверждать, слово, мнение, высказывание, влияние
saying; |ˈseɪɪŋ|;поговорка, присказка, присловье
scale; |skeɪl|;масштаб, шкала, гамма, размер, уровень, взбираться, весить, взвешивать
scare; |sker|;пугать, отпугивать, попугать, вспугивать, паника, внезапный испуг
scared; |skerd|;испуганный
scary; |ˈskeri|;жуткий, пугливый
scene;  |siːn|; сцена, происшествие, эпизод, место происшествия, картина, место действия, пейзаж
schedule;  |ˈskedʒuːl|; расписание, график, план, список, программа, планировать, назначать, намечать
scheme; |skiːm|;схема, система, план, программа, проект, интриговать, замышлять, планировать
school; |skuːl|;школа, обучение, класс, школить, обучать, приучать, школьный, учебный
science; |ˈsaɪəns|;наука, естественные науки, знание, умение, научный
scientific; |ˌsaɪənˈtɪfɪk|;научный, учёный, техничный, высокого класса
scientist; |ˈsaɪəntɪst|;учёный, естествоиспытатель
scissors; |ˈsɪzərz|;ножницы
scope; |skoʊp|;сфера, рамки, масштаб, возможности, размах, предел, пределы, простор, границы
score; |skɔːr|;счет, партитура, количество очков, вести счет, выигрывать, засчитывать
scratch; |skrætʃ|;царапина, царапанье, скрип, поцарапать, царапать, сборный, разношерстный
scream; |skriːm|;орать, вопить, вскрикнуть, зареветь, визг, вопль, умора, клекот
screen; |skriːn|;экран, сито, ширма, кино, грохот, завеса, экранировать, грохотить, экранизировать
screw; |skruː|;винт, шуруп, болт, шнек, червяк, винтовой, завинчиваться
script; |skrɪpt|;сценарий, подлинник, почерк, писать сценарий
sea; |siː|;море, волнение, волна, прилив, морской, приморский
seal; |siːl|;печать, тюлень, пломба, знак, нерпа, затвор, опечатывать, заклеить, изолировать
search; |sɜːrtʃ|;поиски, поиск, обыск, розыск, искать, поискать, поисковый
season; |ˈsiːzn|;сезонный, сезон, время года, время, приправлять, сушить
seat; |siːt|;сиденье, место, местонахождение, билет, сидеть, усаживать, вмещать, сажать
second; |ˈsekənd|;второй, другой, второй, секунда, вторым номером, подкреплять
secondary; |ˈsekənderi|;вторичный, средний, второй, подчиненный, представитель
secondly; |ˈsekəndli|;во-вторых, кроме того, к тому же
secret; |ˈsiːkrət|;тайный, секретный, потайной, скрытый, тайна, секрет, загадка
secretary; |ˈsekrəteri|;секретарь, министр, руководитель организации
secretly; |ˈsiːkrətli|;тайно, втайне, тайком, скрытно, незаметно для других
section; |ˈsekʃn|;раздел, секция, часть, сечение, разрез, подразделять, делить на части
sector; |ˈsektər|;сектор, участок, часть, кулиса, секторный
secure; |səˈkjʊr|;безопасный, обеспеченный, обезопасить, гарантировать, добиваться
security; |səˈkjʊrəti|;безопасность, обеспечение, защита, охрана, надежность, залог, гарантия, уверенность
see;  |siː|; видать, престол, епархия,увидеть, видеть, видеться
seed; |siːd|;семя, семена, зерно, потомство, источник, семениться, сеять, засевать
seek; |siːk|;искать, стремиться, добиваться, обращаться, просить, пытаться, разыскивать
seem; |siːm|;казаться, представляться, мерещиться, померещиться, чудиться, почудиться, думаться
seize; |siːz|;воспользоваться, схватить, захватывать, конфисковать, ухватиться, понять, хватать
select; |sɪˈlekt|;выбирать, отбирать, подбирать, избранный, отборный, разборчивый
selection; |sɪˈlekʃn|;выбор, отбор, подбор, селекция, подборка, набор, выборка
self; |self|;себя, сам, само, собственная личность, сплошной, однородный
sell; |sel|;продавать, продаваться, торговать, надувательство, обман
seller; |ˈselər|;продавец, торговец, ходовой товар, продаваемый товар, ходовая книга
semester; |sɪˈmestər|;семестр
senate; |ˈsenət|;сенат, совет в университете
senator; |ˈsenətər|;сенатор
send; |send|;отправлять, послать, посылать, передавать, присылать, отсылать, рассылать, слать
senior;  |ˈsiːniər|; старший, выпускной, последний, пожилой человек, старшеклассник
sense; |sens|;смысл, чувство, ощущение, значение, чувствовать, ощущать, понимать
sensible; |ˈsensəbl|;разумный, здравомыслящий, здравый, заметный, благоразумный, осмысленный
sensitive; |ˈsensətɪv|;чувствительный, деликатный, чуткий, медиум, телепат
sentence; |ˈsentəns|;предложение, приговор, изречение, приговорить, приговаривать, осуждать
separate; |ˈseprət|;отдельный, отделяться, разделяться, отдельный оттиск
separated; |ˈsepəˌretəd|;разделенный, раздельный, отделенный, разведенный
separately; |ˈseprətli|;отдельно, особо, врозь, вразброс
separation; |ˌsepəˈreɪʃn|;разделение, отделение, сепарация, разъединение, разлука, разлучение, развод
sequence; |ˈsiːkwəns|;последовательность, ряд, эпизод, секвенция, череда, порядок следования, следствие
series; |ˈsɪriːz|;серия, ряд, цикл, цепь, группа, выпуск, комплект, круг, система, свита, отдел
serious; |ˈsɪriəs|;серьезный, важный, нешуточный, опасный, вызывающий опасение
seriously; |ˈsɪriəsli|;серьезно, всерьез
seriousness; |ˈsɪriəsnəs|;серьезность, важность
servant; |ˈsɜːrvənt|;слуга, служащий, служитель, прислуга, служащий
serve;  |sɜːrv|; служить, подача, подавать, обслуживать, работать
service; |ˈsɜːrvɪs|;обслуживание, служба, обслуживать, случать, служебный
session; |ˈseʃn|;сессия, заседание, сеанс, совещание, учебный год, учебный семестр
set; |set|;набор, комплект, сет, установившийся, устанавливать, заходить
setting; |ˈsetɪŋ|;установка, постановка, регулирование, заход, окружающая обстановка, схватывание
settle; |ˈsetl|;скамья, скамья-ларь, поселить, решать, поселиться, селиться
settlement; |ˈsetlmənt|;урегулирование, поселение, поселок, заселение, осадка, колония, деревня, сеттльмент
seven; |ˈsevn|;семь, семеро, семеро, семерка, седьмой номер
seventh; |ˈsevnθ|;седьмой, седьмой, септима, седьмая часть
several; |ˈsevrəl|;несколько, некоторые, каждый, свой
severe; |sɪˈvɪr|;тяжёлый, серьезный, сильный, суровый, строгий, жестокий, резкий, трудный, выдержанный
severely; |sɪˈvɪrli|;сильно, жестоко, сурово, строго-настрого
sew; |soʊ|;шить, пришивать, сшивать, зашивать, прошивать, пристрачивать
sewing; |ˈsoʊɪŋ|;швейный, шитье, пошив, пошивка
sex; |seks|;секс, пол, половое сношение, половой, сексуальный
sexual; |ˈsekʃuəl|;сексуальный, половой
sexually; |ˈsekʃuəli|;сексуально
shade; |ʃeɪd|;тень, оттенок, абажур, штора, полумрак, экран, затенять, растушевывать, штриховать
shadow; |ˈʃædoʊ|;тень, призрак, мрак, полумрак, намек, покров, затенять, омрачать, осенять, предвещать
shake; |ʃeɪk|;дрожание, сотрясение, встряска, дрожь, трястись, трясти, поколебать, дрожать
shall; |ʃəl|;м лице выражает волю говорящего, его приказ, обещание
shallow; |ˈʃæloʊ|;мелкий, мелководный, мелководье, отмель, мель, мелеть, уменьшать глубину
shame; |ʃeɪm|;позор, стыд, срам, досада, бесславие, позорить, стыдить, пристыдить, посрамить
shape; |ʃeɪp|;форма, вид, фигура, облик, формировать, фасонный, профильный
shaped; |ʃeɪpt|;имеющий определенную форму
share; |ʃer|;доля, акция, часть, участие, пай, лемех, сошник, делить, делиться, разделять, участвовать
sharp; |ʃɑːrp|;резкий, острый, резко, круто, ровно, диез, жулик, знаток, плутовать
sharply; |ˈʃɑrpli|;точно
shave; |ʃeɪv|;бритьё, стружка, щепа, мистификация, обман, брить, бриться, побриться, обрить, строгать
she; |ʃi|;она, та, которая, женщина, самка
shed; |ʃed|;сарай, навес, депо, ангар, пролить, проливать, лить, пролитый
sheep; |ʃiːp|;овца, баран, овчина, паства, овечья шкура, робкий человек, застенчивый человек
sheet; |ʃiːt|;лист, листок, слой, простыня, листовой, покрывать
shelf; |ʃelf|;полка, шельф, уступ, отмель, выступ, мель, риф, бедрок, привальный брус
shell; |ʃel|;оболочка, корпус, раковина, скорлупа, шелушить, шелушиться, лущить, лущиться
shelter; |ˈʃeltər|;укрытие, приют, убежище, кров, пристанище, приютить, укрывать, укрываться, прятаться
shift; |ʃɪft|;сдвиг, смена, переключение, изменение, перемещаться, перемещать, сдвигать
shine; |ʃaɪn|;блеск, свет, сияние, лоск, глянец, светить, светиться, сиять, блистать
shiny; |ˈʃaɪni|;блестящий, солнечный, яркий, лоснящийся
ship; |ʃɪp|;корабль, судно, парусное судно, грузить товары, садиться на корабль
shirt; |ʃɜːrt|;рубашка, рубаха, сорочка, блузка, блуза, надевать рубашку
shock; |ʃɑːk|;ударный, шоковый, шокировать, потрясать, шок, удар, потрясение, толчок
shocked; |ˈʃɑːkt|;потрясённый
shocking; |ˈʃɑːkɪŋ|;отвратительный, очень, копнение
shoe; |ʃuː|;обувной, сапожный, башмак, ботинок, колодка, обувать, подбивать
shoot; |ʃuːt|;стрелять, снять, застрелить, расстрелять, побег, охота, стрельба, бросок, росток, рывок
shooting; |ˈʃuːtɪŋ|;стрельба, расстрел, охота, киносъемка, острая боль, паление шпуров
shop; |ʃɑːp|;магазин, цех, мастерская, делать покупки, цеховой
shopping;  |ˈʃɑːpɪŋ|; делать покупки, сажать в тюрьму, присматриваться к товарам
short; |ʃɔːrt|;короткий, краткий, коротко, кратко, резко, короткое замыкание
shortly; |ˈʃɔːrtli|;вскоре, незадолго, коротко, быстро, вкратце, отрывисто, резко, сжато
shot; |ʃɑːt|;выстрел, удар, бросок, кадр, переливчатый, потрепанный, заряжать ружье
should; |ʃəd|;должен
shoulder; |ˈʃoʊldər|;плечо, буртик, уступ, выступ, лопатка, поясок, брать на себя, взвалить на плечи
shout; |ʃaʊt|;крик, окрик, возглас, громкий крик, кричать, покричать, накричать, звать
shove; |ʃʌv|;толчок, толкание, костра, пихать, пихаться, толкать, толкаться
show;  |ʃoʊ|; показывать, шоу, выставка, показ, проявлять, выставочный
shower; |ˈʃaʊər|;душ, ливень, поток, град, обильные осадки, поливать, принимать душ, осыпать
shrug; |ʃrʌɡ|;пожимать плечами, дёргать, тащить, тянуть, пожимание плечами
shut; |ʃʌt|;закрытый, запертый, закрывать, закрываться, запирать
shy; |ʃaɪ|;застенчивый, уклоняться, пугаться, бросок, попытка
sick; |sɪk|;больной, болезненный, больные, болезнь, натравливать
side; |saɪd|;сторона, бок, борт, край, боковой, побочный, примкнуть к
sideways; |ˈsaɪdweɪz|;боком, вбок, в сторону, бочком, вкось, направленный в сторону
sight;  |saɪt|; взгляд, зрение, зрелище, поле зрения, увидеть, заметить, наблюдать, разглядеть
sign; |saɪn|;знак, признак, подпись, символ, вывеска, подписывать, подписываться, расписаться
signal; |ˈsɪɡnəl|;сигнал, знак, связь, сигнализировать, сигнальный, выдающийся
signature; |ˈsɪɡnətʃər|;подпись, подписание, автограф, ключ, ставить подпись
significance; |sɪɡˈnɪfɪkəns|;значение, значимость, важность, смысл, значительность, многозначительность
significant; |sɪɡˈnɪfɪkənt|;значительный, существенный, значимый, знак, символ, указание
significantly; |sɪɡˈnɪfɪkəntli|;существенно, знаменательно
silence; |ˈsaɪləns|;молчание, тишина, безмолвие, забвение, заставить замолчать, заглушать
silent; |ˈsaɪlənt|;тихий, молчаливый, немой, безмолвный, немой фильм
silk; |sɪlk|;шелковый, шелк, шелковая нить
silly; |ˈsɪli|;глупый, простой, глуповатый, глупыш, дурак, несмышленыш
silver; |ˈsɪlvər|;серебро, деньги, серебрить, серебриться, серебряный, серебристый
similar; |ˈsɪmələr|;похожий, подобный, сходный, схожий, копия, двойник, дубликат
similarly; |ˈsɪmələrli|;так же, подобным образом
simple; |ˈsɪmpl|;простой, несложный, нехитрый, простак, простой человек, невежда
simply; |ˈsɪmpli|;просто, только, попросту, легко, совершенно
sin; |ˌes aɪ ˈen|;грех, порок, проступок, недостаток, грешить, нарушать, прегрешать
since; |sɪns|;с, после, со времени, поскольку, с тех пор, поскольку, так как
sincere; |sɪnˈsɪr|;искренний, душевный, задушевный, честный, чистосердечный, прямой, чистый
sincerely; |sɪnˈsɪrli|;искренне
sing; |sɪŋ|;петь, спеть, воспевать, ликовать, пение, свист, спевка, шум, звон
singer; |ˈsɪŋər|;певица, певец, бард, поэт, певчая птица
singing; |ˈsɪŋɪŋ|;пение
single; |ˈsɪŋɡl|;единый, один, одиночный, билет в один конец, определять, выбирать
singular; |ˈsɪŋɡjələr|;единственный, исключительный, единственное число
sink; |sɪŋk|;раковина, сток, слив, углубление, тонуть, потопить, утонуть, погружать
sir; |sɜːr|;сэр, господин, сударь, величать господином
sister; |ˈsɪstər|;сестра, сестренка, монахиня, девушка, родственный, сестринский, парный
sit; |sɪt|;сидеть, заседать, находиться, просиживать, стоять, позировать, сажать, усаживать
site; |saɪt|;место, участок, местоположение, располагать, выбирать место
situation; |ˌsɪtʃuˈeɪʃn|;ситуация, положение, обстановка, состояние, место, местоположение, местность, служба
six; |sɪks|;шесть, шестерка, шестой номер
sixth; |sɪksθ|;шестой, секста, шестая часть, шестое число
size; |saɪz|;размер, объем, формат, величина, сечение, калибровать, проклеивать, шлихтовать
skilful; |ˈskɪlfl|;умелый, искусный, ловкий
skilfully; |ˈskɪlfəli|;умело, искусно, ловко
skill; |skɪl|;навык, умение, мастерство, квалификация, искусство, ловкость, сноровка, выучка
skilled; |skɪld|;квалифицированный, опытный, умелый, искусный
